row	type	id
1	ARCHIVED	60dfcbb3-905b-4b1c-ab4c-f2c29697cd26
2	IMPORTED AS ACTIVE	39cb71de-a780-41d6-a4a3-8046eafbf7e8
3	IMPORTED AS ACTIVE	e61bdfb2-5635-4aa2-9f27-d82c12e3daa8
4	IMPORTED AS ACTIVE	c6f6ce46-ea4d-4d39-a46d-4e194fc5d39b
5	ARCHIVED	74405d2c-b2d6-4d43-878a-0a30170ef887
6	ARCHIVED	8895f73b-cefc-4a84-971a-9e40a7c88616
7	ARCHIVED	eeeb4fb8-790d-4638-bfe2-3a7004b56211
8	ARCHIVED	f928ff1d-9185-4a4c-a61f-e2583776f8e0
9	IMPORTED AS INACTIVE	77644b82-ca40-4393-b4cb-35c15d49e78c
10	IMPORTED AS ACTIVE	286d9fcc-3bda-4184-a797-45359460833e
11	IMPORTED AS ACTIVE	75f4d9e6-b914-4a1d-97b2-1b54e2184bdd
12	IMPORTED AS ACTIVE	a6dd4050-6417-4a0b-81a5-de1c78f65a27
13	IMPORTED AS ACTIVE	15d6b3ea-585f-431c-85ec-5be965bcb50a
14	IMPORTED AS INACTIVE	0018f708-e176-4490-87ff-4e69accca8ad
15	ARCHIVED	443e7f1b-373a-4dde-a62e-a7db1ffff861
16	ARCHIVED	86223703-bf06-4ce9-aa84-6ba568b3520c
17	IMPORTED AS INACTIVE	37224b1b-f25f-460e-b3ae-1c1149e6f8df
18	IMPORTED AS INACTIVE	738188cd-b49d-48c2-8d6c-6402f8b45e87
19	IMPORTED AS INACTIVE	b429f694-33b7-4613-894e-337032625047
20	IMPORTED AS ACTIVE	93a2866b-aea1-4bcf-b35a-183ea2a5b779
21	IMPORTED AS ACTIVE	0f36902a-b07f-42cb-a3c8-93f7b328a1fd
22	IMPORTED AS ACTIVE	c4c0424f-cce1-495e-a5b6-31aac0092356
23	IMPORTED AS INACTIVE	5ac2fc5c-1e50-41b9-b04d-6dda96019c40
24	IMPORTED AS INACTIVE	c11f653b-4d20-4052-b5f4-a46be59c0c4c
25	ARCHIVED	89b97826-dce2-4a49-ad45-d99fb8f5ef5e
26	IMPORTED AS ACTIVE	25ad5de7-39a1-4bb0-a520-584f4fe71b43
27	IMPORTED AS ACTIVE	650f1ccd-b862-45e5-be4d-a50fa2ede56f
28	IMPORTED AS INACTIVE	7008c78c-237b-4a88-bed4-5ae05565e1be
29	IMPORTED AS ACTIVE	c2935b2a-11e6-4209-9031-38b7979eb075
30	IMPORTED AS INACTIVE	6c658128-d44b-4bf2-ac2a-49f0151d2d41
