row	type	id
1	ARCHIVED	ff79fd0a-3fc1-4efe-8f93-f70f3d44d072
2	IMPORTED AS ACTIVE	2444ba42-7772-4145-ba3d-49d307179eac
3	ARCHIVED	6678f7eb-4ddb-45a4-b6aa-14d091c43d50
4	ARCHIVED	3e7145df-c8f4-4efb-a7b8-84dc17a92a28
5	IMPORTED AS INACTIVE	5db0ac91-b4f9-47aa-be45-62bd08bab29e
6	IMPORTED AS INACTIVE	1e5c31f6-2084-4049-ba0a-7d8a75cde0ca
7	IMPORTED AS ACTIVE	5a6d8b5f-0d7e-4533-af03-1daf9020e20b
8	ARCHIVED	6602df58-11f3-4a5d-b43b-9e275a1defe1
9	IMPORTED AS INACTIVE	81e9dd19-50d6-4688-8c4c-3b303e9badc2
10	ARCHIVED	8f31bf83-e2b5-41a4-91f5-8ea59053eecf
11	ARCHIVED	874d04d8-e404-44ac-ace6-2c8fc45ff63d
12	IMPORTED AS ACTIVE	deb50a20-9279-4d10-a2c7-e86f834762ee
13	IMPORTED AS ACTIVE	65e58048-024b-46e7-8de4-5d769d7218c2
14	IMPORTED AS ACTIVE	4bb50061-0672-44b4-b741-6fb7d5063584
15	IMPORTED AS ACTIVE	29891dbe-0000-49c7-af18-11a223922f9d
16	IMPORTED AS INACTIVE	b6f8f31d-f65a-4cce-9b12-c864d97a4277
17	IMPORTED AS ACTIVE	cc6ee752-6eca-4632-b982-3e383ba3fca0
18	IMPORTED AS INACTIVE	d11ec8b9-9101-48ff-8cdf-78f55271db67
19	IMPORTED AS ACTIVE	0313a180-2b11-4bbb-9806-40ff01dd8c46
20	IMPORTED AS ACTIVE	91b41908-2bce-4ffb-9cb2-cb0164b48a9c
21	IMPORTED AS INACTIVE	09d6def6-f4d5-4a83-b06e-c9262628c8af
22	IMPORTED AS INACTIVE	6535e4be-f21e-417a-a5a7-7456bcf6ff48
23	IMPORTED AS ACTIVE	691ba179-0790-4750-8b6f-b8c2e7b0af34
24	ARCHIVED	3e63dd3d-27f2-41d2-b596-5bf39c240b33
